user_id,course_id,due,experience,hours,location,resp_time,datetime_utc
u12,tuck 3,2,4,1,"43.63747443,-72.24856045",1366157441,2013-04-17 00:10:41+00:00
u14,COSC 065,2,3,2,"43.70612113,-72.28723353",1364426372,2013-03-27 23:19:32+00:00
u14,cs 20,2,1,1,"43.70585573,-72.28782999",1364515224,2013-03-29 00:00:24+00:00
u14,cs65,2,1,1,"43.70509271,-72.28680761",1364583722,2013-03-29 19:02:02+00:00
u14,cs 65,2,1,1,"43.70468907,-72.28757152",1364602116,2013-03-30 00:08:36+00:00
u14,vs 65,1,2,7,"43.70695164,-72.28693335",1364846623,2013-04-01 20:03:43+00:00
u14,cs 27,1,1,6,"43.70589684,-72.28776778",1364867409,2013-04-02 01:50:09+00:00
u14,cs 20,1,1,5,"43.70481251,-72.28700429",1364948516,2013-04-03 00:21:56+00:00
u14,cs 65,2,2,1,"43.7049256,-72.28632081",1365026494,2013-04-03 22:01:34+00:00
u14,cs 20,2,1,2,"43.70586941,-72.2877982",1365040984,2013-04-04 02:03:04+00:00
u14,cs 65,2,1,3,"43.70645868,-72.28793942",1365125682,2013-04-05 01:34:42+00:00
u14,cs 20,2,1,3,"43.70645868,-72.28793942",1365125724,2013-04-05 01:35:24+00:00
u14,cs 27,2,1,3,"43.70645868,-72.28793942",1365125744,2013-04-05 01:35:44+00:00
u14,cs 65,2,3,1,"43.70491826,-72.28692692",1365211284,2013-04-06 01:21:24+00:00
u14,cs 65,1,1,5,"43.70477259,-72.28698419",1365475963,2013-04-09 02:52:43+00:00
u14,cs 27,1,1,5,"43.70477259,-72.28698419",1365475978,2013-04-09 02:52:58+00:00
u14,cs20,1,2,9,"43.70590328,-72.28775889",1365559598,2013-04-10 02:06:38+00:00
u14,cs65,2,4,1,"43.70498939,-72.28699053",1365627847,2013-04-10 21:04:07+00:00
u14,cs65,2,2,2,"43.70511041,-72.28702345",1365720489,2013-04-11 22:48:09+00:00
u14,cs65,2,1,2,"43.70460577,-72.28671025",1365811216,2013-04-13 00:00:16+00:00
u14,cs65,1,2,9,"43.70545641,-72.28669002",1366059324,2013-04-15 20:55:24+00:00
u14,cs65,1,3,7,"43.70600151,-72.28720407",1366073324,2013-04-16 00:48:44+00:00
u14,cs 20,1,2,5,"43.70592555,-72.28768582",1366158662,2013-04-17 00:31:02+00:00
u14,cs 65,2,1,2,"43.70479742,-72.28842704",1366246201,2013-04-18 00:50:01+00:00
u15,EARS3,2,1,1,"43.70570121,-72.29643446",1364546202,2013-03-29 08:36:42+00:00
u15,"cs65
",2,1,2,Unknown,1364546204,2013-03-29 08:36:44+00:00
u15,cs65,2,1,1,"43.70402365,-72.29064013",1364615509,2013-03-30 03:51:49+00:00
u15,span3,2,1,1,"43.70428082,-72.28776631",1365012151,2013-04-03 18:02:31+00:00
u15,cs65,2,1,4,"43.70428082,-72.28776631",1365016457,2013-04-03 19:14:17+00:00
u15,ears3,2,1,1,"43.70306492,-72.29079677",1365023616,2013-04-03 21:13:36+00:00
