user_id,level,location,resp_time,datetime_utc
u05,4,"43.70486983,-72.29032605",1364681002,2013-03-30 22:03:22+00:00
u05,1,"42.69942036,-71.43609676",1364713747,2013-03-31 07:09:07+00:00
u07,2,"43.70675332,-72.2868274",1364355812,2013-03-27 03:43:32+00:00
u07,4,"43.70287825,-72.28818009",1364372190,2013-03-27 08:16:30+00:00
u07,1,"43.70377905,-72.28420015",1364375862,2013-03-27 09:17:42+00:00
u07,1,"43.7040066,-72.28391899",1364404685,2013-03-27 17:18:05+00:00
u07,1,"43.7040066,-72.28391899",1364416770,2013-03-27 20:39:30+00:00
u07,4,"43.7040066,-72.28391899",1364422428,2013-03-27 22:13:48+00:00
u07,4,"43.70327981,-72.28393317",1364443895,2013-03-28 04:11:35+00:00
u07,1,"43.70327981,-72.28393317",1364459763,2013-03-28 08:36:03+00:00
u07,1,"43.70381904,-72.28413912",1364493890,2013-03-28 18:04:50+00:00
u07,1,"43.705217,-72.28640721",1364513345,2013-03-28 23:29:05+00:00
u07,1,"43.705217,-72.28640721",1364513373,2013-03-28 23:29:33+00:00
u07,4,"43.70200398,-72.28793859",1364513833,2013-03-28 23:37:13+00:00
u07,4,"43.70255001,-72.28685512",1364517071,2013-03-29 00:31:11+00:00
u07,1,"43.70257385,-72.28793151",1364523605,2013-03-29 02:20:05+00:00
u07,1,"43.70321138,-72.29012708",1364527034,2013-03-29 03:17:14+00:00
u07,4,"43.70321138,-72.29012708",1364531238,2013-03-29 04:27:18+00:00
u07,4,"43.70321138,-72.29012708",1364536763,2013-03-29 05:59:23+00:00
u07,1,"43.70392608,-72.28391071",1364576755,2013-03-29 17:05:55+00:00
u07,4,"43.70880096,-72.28424497",1364587358,2013-03-29 20:02:38+00:00
u07,4,"43.70166036,-72.28814555",1364595952,2013-03-29 22:25:52+00:00
u07,5,"43.70166036,-72.28814555",1364614568,2013-03-30 03:36:08+00:00
u07,4,"43.7038505,-72.28368719",1364637696,2013-03-30 10:01:36+00:00
u07,5,"43.70386706,-72.28368428",1364695670,2013-03-31 02:07:50+00:00
u07,5,"43.70297942,-72.28462672",1364695672,2013-03-31 02:07:52+00:00
u07,4,"43.70358547,-72.28382208",1364713715,2013-03-31 07:08:35+00:00
u07,1,"43.70151102,-72.28661176",1364723720,2013-03-31 09:55:20+00:00
u07,4,"43.7034298,-72.2850223",1364731808,2013-03-31 12:10:08+00:00
u07,4,"43.70384974,-72.28380085",1364765844,2013-03-31 21:37:24+00:00
u07,4,"43.70384974,-72.28380085",1364770202,2013-03-31 22:50:02+00:00
u07,4,"43.70393335,-72.2837312",1364791877,2013-04-01 04:51:17+00:00
u07,5,"43.70393335,-72.2837312",1364799501,2013-04-01 06:58:21+00:00
u07,4,"43.70393655,-72.28393844",1364971139,2013-04-03 06:38:59+00:00
u07,4,"43.70391766,-72.28483911",1364983966,2013-04-03 10:12:46+00:00
u07,4,"43.70391766,-72.28483911",1365011835,2013-04-03 17:57:15+00:00
u07,4,"43.70302005,-72.28456593",1365040346,2013-04-04 01:52:26+00:00
u07,4,"43.7035913,-72.28369892",1365081505,2013-04-04 13:18:25+00:00
u07,5,"43.70406445,-72.28387812",1365150132,2013-04-05 08:22:12+00:00
u07,4,"42.68180911,-84.64766693",1365461428,2013-04-08 22:50:28+00:00
u07,4,"43.70416133,-72.28362449",1365672741,2013-04-11 09:32:21+00:00
u07,1,"43.70404614,-72.28405349",1365707401,2013-04-11 19:10:01+00:00
u07,4,"43.70829698,-72.28430122",1365710683,2013-04-11 20:04:43+00:00
u07,1,"43.70829698,-72.28430122",1365734641,2013-04-12 02:44:01+00:00
u07,4,"43.70249992,-72.28863527",1365804691,2013-04-12 22:11:31+00:00
u07,4,"43.70380812,-72.28401109",1365891820,2013-04-13 22:23:40+00:00
u07,2,"43.70375535,-72.28381706",1366056040,2013-04-15 20:00:40+00:00
u07,1,"43.70846713,-72.28425547",1366084813,2013-04-16 04:00:13+00:00
u07,4,"43.70380132,-72.28395937",1366169922,2013-04-17 03:38:42+00:00
u07,4,"43.70440959,-72.28378547",1366186225,2013-04-17 08:10:25+00:00
u07,4,"43.70396269,-72.28384852",1366245261,2013-04-18 00:34:21+00:00
u07,4,"43.70643727,-72.28702697",1366281877,2013-04-18 10:44:37+00:00
u07,4,"43.70413027,-72.28378295",1366434340,2013-04-20 05:05:40+00:00
u07,4,"43.7028215,-72.28758618",1366716537,2013-04-23 11:28:57+00:00
u07,5,"43.70425769,-72.28391582",1366752736,2013-04-23 21:32:16+00:00
u08,2,Unknown,1364349856,2013-03-27 02:04:16+00:00
u08,1,Unknown,1364354163,2013-03-27 03:16:03+00:00
u08,4,Unknown,1364364910,2013-03-27 06:15:10+00:00
u08,4,Unknown,1364375470,2013-03-27 09:11:10+00:00
u08,1,Unknown,1364404006,2013-03-27 17:06:46+00:00
u08,1,"43.70227295,-72.28989198",1364418539,2013-03-27 21:08:59+00:00
u08,1,"43.70528743,-72.29155419",1364423217,2013-03-27 22:26:57+00:00
u08,4,"43.70528743,-72.29155419",1364438557,2013-03-28 02:42:37+00:00
u08,2,"43.70528743,-72.29155419",1364446429,2013-03-28 04:53:49+00:00
u08,3,"43.70528743,-72.29155419",1364457406,2013-03-28 07:56:46+00:00
