user_id,resp_time,datetime_utc,sleep_hours,sleep_quality,sleepiness,location
u10,1364411484,2013-03-27 19:11:24+00:00,7,2,1,"43.70822031,-72.28454379"
u10,1364411484,2013-03-27 19:11:24+00:00,7,2,1,"43.70407087,-72.28782785"
u10,1364609263,2013-03-30 02:07:43+00:00,8,2,1,"43.70430713,-72.29029683"
u10,1364609267,2013-03-30 02:07:47+00:00,6,2,1,"43.70647211,-72.28802604"
u10,1364661437,2013-03-30 16:37:17+00:00,8,1,1,"43.70443854,-72.2860879"
u10,1364674277,2013-03-30 20:11:17+00:00,8,1,1,"43.70291316,-72.28943322"
u10,1364752043,2013-03-31 17:47:23+00:00,8,2,1,"43.70268506,-72.2871776"
u10,1364837694,2013-04-01 17:34:54+00:00,7,2,1,"43.70341845,-72.29014363"
u10,1364925152,2013-04-02 17:52:32+00:00,7,2,1,"43.70679334,-72.28767766"
u10,1365008548,2013-04-03 17:02:28+00:00,8,2,1,"43.70459605,-72.2899188"
u10,1365096812,2013-04-04 17:33:32+00:00,7,2,1,"43.70168352,-72.28807511"
u10,1365184190,2013-04-05 17:49:50+00:00,7,2,1,"43.70173422,-72.28775943"
u10,1365273300,2013-04-06 18:35:00+00:00,8,2,3,"43.70464259,-72.28795732"
u10,1365356479,2013-04-07 17:41:19+00:00,7,2,1,"43.70336268,-72.28777469"
u10,1365440429,2013-04-08 17:00:29+00:00,8,2,1,"43.70238375,-72.28772441"
u10,1365526923,2013-04-09 17:02:03+00:00,8,2,1,"43.70278942,-72.28658418"
u10,1365613482,2013-04-10 17:04:42+00:00,8,3,1,"43.70278942,-72.28658418"
u10,1365700813,2013-04-11 17:20:13+00:00,8,2,1,"43.70278942,-72.28658418"
u10,1365786054,2013-04-12 17:00:54+00:00,7,2,1,"43.70278942,-72.28658418"
u10,1365883255,2013-04-13 20:00:55+00:00,6,3,3,"43.70278942,-72.28658418"
u10,1365964615,2013-04-14 18:36:55+00:00,7,3,1,"43.70278942,-72.28658418"
u10,1366048098,2013-04-15 17:48:18+00:00,8,2,1,"43.7050225,-72.28939767"
u10,1366131914,2013-04-16 17:05:14+00:00,8,2,1,"43.7050225,-72.28939767"
u10,1366220518,2013-04-17 17:41:58+00:00,8,2,1,"43.7050225,-72.28939767"
